Id;PostId;UserId;BountyAmount;VoteTypeId;CreationDate
362;193;NULL;NULL;2;2008-08-01 00:00:00.000
363;211;NULL;NULL;2;2008-08-01 00:00:00.000
364;111;NULL;NULL;2;2008-08-01 00:00:00.000
365;31;NULL;NULL;2;2008-08-01 00:00:00.000
366;209;NULL;NULL;2;2008-08-01 00:00:00.000
368;208;NULL;NULL;2;2008-08-01 00:00:00.000
370;208;NULL;NULL;2;2008-08-01 00:00:00.000
378;211;NULL;NULL;2;2008-08-01 00:00:00.000
379;216;NULL;NULL;2;2008-08-01 00:00:00.000
380;215;NULL;NULL;2;2008-08-01 00:00:00.000
382;217;NULL;NULL;3;2008-08-01 00:00:00.000
383;197;NULL;NULL;2;2008-08-01 00:00:00.000
385;217;NULL;NULL;3;2008-08-01 00:00:00.000
389;205;NULL;NULL;2;2008-08-01 00:00:00.000
390;170;NULL;NULL;1;2008-08-01 00:00:00.000
396;219;NULL;NULL;2;2008-08-01 00:00:00.000
397;218;NULL;NULL;2;2008-08-01 00:00:00.000
398;208;NULL;NULL;2;2008-08-01 00:00:00.000
399;216;NULL;NULL;2;2008-08-01 00:00:00.000
400;211;NULL;NULL;2;2008-08-01 00:00:00.000
401;215;NULL;NULL;2;2008-08-01 00:00:00.000
402;216;NULL;NULL;2;2008-08-01 00:00:00.000
403;174;NULL;NULL;2;2008-08-01 00:00:00.000
404;216;NULL;NULL;2;2008-08-01 00:00:00.000
405;211;NULL;NULL;2;2008-08-01 00:00:00.000
406;77;NULL;NULL;2;2008-08-01 00:00:00.000
407;125;NULL;NULL;2;2008-08-01 00:00:00.000
408;173;NULL;NULL;2;2008-08-01 00:00:00.000
409;195;NULL;NULL;2;2008-08-01 00:00:00.000
410;208;NULL;NULL;2;2008-08-01 00:00:00.000
411;208;NULL;NULL;2;2008-08-01 00:00:00.000
412;216;NULL;NULL;2;2008-08-01 00:00:00.000
413;183;NULL;NULL;2;2008-08-01 00:00:00.000
416;206;NULL;NULL;2;2008-08-01 00:00:00.000
417;13;NULL;NULL;2;2008-08-01 00:00:00.000
418;9;NULL;NULL;2;2008-08-01 00:00:00.000
419;103;NULL;NULL;2;2008-08-01 00:00:00.000
420;10;NULL;NULL;2;2008-08-01 00:00:00.000
421;46;NULL;NULL;3;2008-08-01 00:00:00.000
422;104;NULL;NULL;2;2008-08-01 00:00:00.000
423;121;NULL;NULL;3;2008-08-01 00:00:00.000
424;209;NULL;NULL;2;2008-08-01 00:00:00.000
425;216;NULL;NULL;1;2008-08-01 00:00:00.000
427;215;NULL;NULL;1;2008-08-01 00:00:00.000
428;226;NULL;NULL;2;2008-08-01 00:00:00.000
431;169;NULL;NULL;2;2008-08-01 00:00:00.000
433;185;NULL;NULL;2;2008-08-01 00:00:00.000
434;189;NULL;NULL;3;2008-08-01 00:00:00.000
436;24;NULL;NULL;2;2008-08-01 00:00:00.000
440;49;NULL;NULL;2;2008-08-01 00:00:00.000
442;26;NULL;NULL;2;2008-08-01 00:00:00.000
443;33;NULL;NULL;2;2008-08-01 00:00:00.000
446;15;NULL;NULL;3;2008-08-01 00:00:00.000
447;111;NULL;NULL;2;2008-08-01 00:00:00.000
448;185;NULL;NULL;2;2008-08-01 00:00:00.000
449;238;NULL;NULL;2;2008-08-01 00:00:00.000
450;235;NULL;NULL;3;2008-08-01 00:00:00.000
453;239;NULL;NULL;2;2008-08-01 00:00:00.000
454;240;NULL;NULL;2;2008-08-01 00:00:00.000
455;241;NULL;NULL;2;2008-08-01 00:00:00.000
456;110;NULL;NULL;2;2008-08-01 00:00:00.000
457;250;NULL;NULL;2;2008-08-01 00:00:00.000
458;250;NULL;NULL;1;2008-08-01 00:00:00.000
459;184;NULL;NULL;2;2008-08-01 00:00:00.000
460;189;NULL;NULL;3;2008-08-01 00:00:00.000
462;159;NULL;NULL;2;2008-08-01 00:00:00.000
463;250;NULL;NULL;2;2008-08-01 00:00:00.000
464;254;NULL;NULL;3;2008-08-01 00:00:00.000
465;255;NULL;NULL;3;2008-08-01 00:00:00.000
466;256;NULL;NULL;3;2008-08-01 00:00:00.000
467;250;NULL;NULL;2;2008-08-01 00:00:00.000
474;227;NULL;NULL;2;2008-08-01 00:00:00.000
475;112;NULL;NULL;2;2008-08-01 00:00:00.000
476;257;NULL;NULL;2;2008-08-01 00:00:00.000
477;253;NULL;NULL;2;2008-08-01 00:00:00.000
479;266;NULL;NULL;2;2008-08-01 00:00:00.000
480;161;NULL;NULL;2;2008-08-01 00:00:00.000
481;226;NULL;NULL;2;2008-08-01 00:00:00.000
482;240;NULL;NULL;2;2008-08-01 00:00:00.000
483;253;NULL;NULL;2;2008-08-01 00:00:00.000
490;266;NULL;NULL;1;2008-08-01 00:00:00.000
491;104;NULL;NULL;2;2008-08-01 00:00:00.000
492;270;NULL;NULL;2;2008-08-01 00:00:00.000
493;207;NULL;NULL;2;2008-08-01 00:00:00.000
494;236;NULL;NULL;2;2008-08-01 00:00:00.000
495;273;NULL;NULL;2;2008-08-02 00:00:00.000
496;272;NULL;NULL;2;2008-08-02 00:00:00.000
497;147;NULL;NULL;2;2008-08-02 00:00:00.000
498;154;NULL;NULL;2;2008-08-02 00:00:00.000
499;227;NULL;NULL;2;2008-08-02 00:00:00.000
502;256;NULL;NULL;3;2008-08-02 00:00:00.000
503;275;NULL;NULL;2;2008-08-02 00:00:00.000
505;255;NULL;NULL;3;2008-08-02 00:00:00.000
508;253;NULL;NULL;2;2008-08-02 00:00:00.000
509;216;NULL;NULL;2;2008-08-02 00:00:00.000
510;273;NULL;NULL;2;2008-08-02 00:00:00.000
511;266;NULL;NULL;2;2008-08-02 00:00:00.000
512;265;NULL;NULL;2;2008-08-02 00:00:00.000
513;271;NULL;NULL;3;2008-08-02 00:00:00.000
514;209;NULL;NULL;2;2008-08-02 00:00:00.000
515;73;NULL;NULL;2;2008-08-02 00:00:00.000
516;30;NULL;NULL;2;2008-08-02 00:00:00.000
517;21;NULL;NULL;2;2008-08-02 00:00:00.000
518;35;NULL;NULL;2;2008-08-02 00:00:00.000
519;64;NULL;NULL;2;2008-08-02 00:00:00.000
520;104;NULL;NULL;2;2008-08-02 00:00:00.000
521;33;NULL;NULL;2;2008-08-02 00:00:00.000
522;112;NULL;NULL;2;2008-08-02 00:00:00.000
523;107;NULL;NULL;2;2008-08-02 00:00:00.000
524;233;NULL;NULL;2;2008-08-02 00:00:00.000
525;68;NULL;NULL;2;2008-08-02 00:00:00.000
526;66;NULL;NULL;2;2008-08-02 00:00:00.000
527;279;NULL;NULL;2;2008-08-02 00:00:00.000
528;285;NULL;NULL;2;2008-08-02 00:00:00.000
